pageName,diffURL,editor,lineDelta,comment
"Thai Canal","http://en.wikipedia.org/w/index.php?diff=630000067&oldid=607610049","h3wutsnl",1538,"new section Competition with Straight of Malacca"
"Grand Theft Auto (series)","http://en.wikipedia.org/w/index.php?diff=630000070&oldid=629999794","zqdblnkq",25,""
"Mian Khan","http://en.wikipedia.org/w/index.php?diff=630000073&oldid=629999951","h89x00rc",0,""
"The Good Dinosaur","http://en.wikipedia.org/w/index.php?diff=630000074&oldid=629999288","thax2bvo",-80,"Reverted 2 edits by [[Special:Contributions/176.222.20.9|176.222.20.9]] ([[User talk:176.222.20.9|talk]]): Unsourced. ([[WP:TW|TW]])"
"List of decommissioned ships of the Italian Navy","http://en.wikipedia.org/w/index.php?diff=630000075&oldid=629864032","172.17.125.219",495,"/* Hydrofoil missile boats */"
"Communal Wildlife Conservancies in Namibia","http://en.wikipedia.org/w/index.php?diff=630000077&oldid=589410264","172.31.36.226",6,""
"Ju Ju Wilson","http://en.wikipedia.org/w/index.php?diff=630000078&oldid=629999714","172.20.14.86",13,""
"Petrified Forest National Park","http://en.wikipedia.org/w/index.php?diff=630000079&oldid=629999248","pvwmfe0x",-13,"/* Climate */ adjust high temp average slightly to conform to updated RS"
"2015 Malmö FF season","http://en.wikipedia.org/w/index.php?diff=630000080&oldid=629995788","5es7k6nq",12,""
"Scottish cuisine","http://en.wikipedia.org/w/index.php?diff=630000085&oldid=626591232","vojxh84d",61,"/* Scottish foods */ Add an image: [[File:Ayrshire's Dunlop Cheese.JPG|thumb|[[Dunlop cheese]]]]"
"Lisa Phillips","http://en.wikipedia.org/w/index.php?diff=630000086&oldid=629492843","jjvpplin",31,""
"Great Falls, Montana","http://en.wikipedia.org/w/index.php?diff=630000087&oldid=629029296","172.28.162.219",5,"/* Military */ updated information"
"Kensuke Sasaki","http://en.wikipedia.org/w/index.php?diff=630000088&oldid=629999904","skcvl2db",9,"/* Mixed martial arts career */"
"West Coast Gangsta Shit","http://en.wikipedia.org/w/index.php?diff=630000089&oldid=618883427","172.25.90.180",-6,""
"Miss Belgium","http://en.wikipedia.org/w/index.php?diff=630000091&oldid=629768766","5b646q6b",3,"/* Titleholders */"
"Gul Panra","http://en.wikipedia.org/w/index.php?diff=630000095&oldid=630000005","867wdv1b",-48,""
"The Real Housewives of New York City","http://en.wikipedia.org/w/index.php?diff=630000096&oldid=629977438","urymjji4",-18,"/* Timeline of housewives */"
"Panasonic Lumix DMC-FZ1000","http://en.wikipedia.org/w/index.php?diff=630000103&oldid=629806264","jfa3zf7e",-141,"brevity"
"Rason Special Economic Zone","http://en.wikipedia.org/w/index.php?diff=630000104&oldid=628933892","6ichmtqo",1,"/* Geographical Location */ Fixing style/layout errors Copyedit (minor)"
"2014 Atlantic hurricane season","http://en.wikipedia.org/w/index.php?diff=630000105&oldid=629999752","172.20.241.25",1,"/* Season effects */"
"Baksan River","http://en.wikipedia.org/w/index.php?diff=630000107&oldid=629999239","6cv378mb",124,"adding a file"
"Coulomb","http://en.wikipedia.org/w/index.php?diff=630000108&oldid=629123479","172.25.242.216",28,""
"Chadwick Stokes Urmston","http://en.wikipedia.org/w/index.php?diff=630000109&oldid=629999977","172.24.101.60",15,""
"Gábor Gréczi","http://en.wikipedia.org/w/index.php?diff=630000111&oldid=627800908","tk6ldtzi",-3,"/* Club statistics */"
"Tiny Toy Stories","http://en.wikipedia.org/w/index.php?diff=630000112&oldid=629997847","3kuyrpe5",-4,"/* Follow-ups */"
"Spatial intelligence (psychology)","http://en.wikipedia.org/w/index.php?diff=630000115&oldid=628937113","172.17.56.17",15,""
"Alan Smithers","http://en.wikipedia.org/w/index.php?diff=630000117&oldid=630000019","172.24.246.85",-4,"/* Early life */"
"Flip Benham","http://en.wikipedia.org/w/index.php?diff=630000119&oldid=629999972","172.26.217.107",7,"/* Recent activities */"
"Tanja Karpela","http://en.wikipedia.org/w/index.php?diff=630000120&oldid=614249872","kn37hku3",50,"Category"
"2014 Denmark Super Series Premier","http://en.wikipedia.org/w/index.php?diff=630000124&oldid=629999390","172.26.229.237",59,"/* Bottom Half */"
"Georgi Korudzhiev","http://en.wikipedia.org/w/index.php?diff=630000126&oldid=619252784","6k8b2ymd",2,""
"National School of Mineral Industry","http://en.wikipedia.org/w/index.php?diff=630000127&oldid=630000038","172.19.246.49",-65,""
"Telenor Bulgaria","http://en.wikipedia.org/w/index.php?diff=630000129&oldid=629999878","zja70mmr",0,""
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=630000130&oldid=630000029","peh2thuc",22,"touching up some stuff"
"Silichy","http://en.wikipedia.org/w/index.php?diff=630000132&oldid=629984480","172.31.123.85",-53,"Undid revision 629984480 by [[Special:Contributions/Scheridon|Scheridon]] ([[User talk:Scheridon|talk]])"
"Walt Disney Diamond Editions","http://en.wikipedia.org/w/index.php?diff=630000133&oldid=614809567","172.20.214.78",29,"[[WP:AES|←]]Redirected page to [[List of Walt Disney and Buena Vista video releases#Walt Disney Diamond Editions]]"
"Same-sex marriage","http://en.wikipedia.org/w/index.php?diff=630000134&oldid=629997949","172.31.183.96",463,"/* Mexico */"
"CD Cudillero","http://en.wikipedia.org/w/index.php?diff=630000136&oldid=629999907","clxp936f",0,"/* Season to season */"
"The Expendables 2","http://en.wikipedia.org/w/index.php?diff=630000137&oldid=629994367","zd44lski",-18,"Reverted 1 [[WP:AGF|good faith]] edit by [[Special:Contributions/117.208.113.9|117.208.113.9]] using [[WP:STiki|STiki]]"
"Ludlow High School","http://en.wikipedia.org/w/index.php?diff=630000138&oldid=629972836","172.23.216.123",-7,""
"Sara Maria Forsberg","http://en.wikipedia.org/w/index.php?diff=630000141&oldid=629999786","m127a5uo",1,"/* In media */"
"Charles, marquis de Villette","http://en.wikipedia.org/w/index.php?diff=630000142&oldid=610248913","prf0jyci",-10,""
"Devil's Highway (film)","http://en.wikipedia.org/w/index.php?diff=630000143&oldid=629999943","g8onhct8",146,"/* Critical reception */ add archive link"
"Astoria, Queens","http://en.wikipedia.org/w/index.php?diff=630000145&oldid=629993810","nsi683oe",127,"The point of the bike lane picture straddling the sections is for it to accompany ""Places of Interest""/""Transportation"" sections."
"Mela Koteluk","http://en.wikipedia.org/w/index.php?diff=630000146&oldid=628660290","3shslk59",346,""
"Lisa Phillips","http://en.wikipedia.org/w/index.php?diff=630000150&oldid=630000086","jjvpplin",-7,""
"Valeriia Poloz","http://en.wikipedia.org/w/index.php?diff=630000151&oldid=625627294","rgxa0tba",1276,"/* Miss Earth 2014 */"
"Islamic state","http://en.wikipedia.org/w/index.php?diff=630000153&oldid=629917467","xihirc3j",-23,"""secular"" British legal code. No references + controversial as Church plays constitutional role in parliament, and by extension, parliamentary legislation."
"Public speaking","http://en.wikipedia.org/w/index.php?diff=630000154&oldid=629996432","zd44lski",-16,"Reverted 1 [[WP:AGF|good faith]] edit by [[Special:Contributions/ProudtobeMyself|ProudtobeMyself]] using [[WP:STiki|STiki]]"
"Adele Ramos","http://en.wikipedia.org/w/index.php?diff=630000155&oldid=599969904","peh2thuc",8,"removed [[Category:Belizean women]]; added [[Category:Belizean women writers]] using [[WP:HC|HotCat]]"
"Csanád Novák","http://en.wikipedia.org/w/index.php?diff=630000157&oldid=629998747","tk6ldtzi",0,"/* Club statistics */"
"List of Iris species","http://en.wikipedia.org/w/index.php?diff=630000158&oldid=629967745","6690sydz",51,"/* Subgenus Iris */ added Iris dolichosiphon in pseudoregelia from http://www.theplantlist.org/tpl1.1/record/kew-321768"
"1982 Supertaça Cândido de Oliveira","http://en.wikipedia.org/w/index.php?diff=630000159&oldid=629292404","89uz0jbj",4,"/* Second leg */"
"Blood Ties (McKenzie novel)","http://en.wikipedia.org/w/index.php?diff=630000164&oldid=629999963","172.25.51.128",4416,"/* Plot */"
"Siege of the International Legations","http://en.wikipedia.org/w/index.php?diff=630000165&oldid=629999990","pn3g6t9u",135,"Filled in 1 reference(s) with [[User:Zhaofeng Li/Reflinks]]"
"Keelu Bommalu","http://en.wikipedia.org/w/index.php?diff=630000166&oldid=582684150","h8vcqxeq",43,""
"2012 Grand Prix motorcycle racing season","http://en.wikipedia.org/w/index.php?diff=630000170&oldid=629999920","s9jzhcps",74,"/* Riders' points standings */"
"United States Senate elections, 1794 and 1795","http://en.wikipedia.org/w/index.php?diff=630000173&oldid=629721642","cb60excb",-141,"/* Complete list of races */ merged sections"
"2014 Indian Super League season","http://en.wikipedia.org/w/index.php?diff=630000176&oldid=629995806","zfgey5fr",0,"/* Result table */"
"Michael Tawiah","http://en.wikipedia.org/w/index.php?diff=630000177&oldid=629988204","6k8b2ymd",2,""
"Écomusée du fier monde","http://en.wikipedia.org/w/index.php?diff=630000178&oldid=545684634","vh8cg0sr",45,""
"Adele Ramos","http://en.wikipedia.org/w/index.php?diff=630000181&oldid=630000155","peh2thuc",28,"added [[Category:Belizean poets]] using [[WP:HC|HotCat]]"
"Monmouth County, New Jersey","http://en.wikipedia.org/w/index.php?diff=630000182&oldid=629912822","e55ruole",346,"Rv troll"
