casename,Lot,Wafer,Outcome,FailureCode,SNSR1_C1,SNSR1_C2,SNSR1_C3,SNSR1_C4,SNSR1_C5,SNSR1_C6,SNSR1_C7,SNSR1_C8,SNSR1_C9,SNSR1_C10,SNSR1_C11,SNSR1_C12,SNSR1_C13,SNSR1_C14,SNSR1_C15,SNSR2_C1,SNSR2_C2,SNSR2_C3,SNSR2_C4,SNSR2_C5,SNSR2_C6,SNSR2_C7,SNSR2_C8,SNSR2_C9,SNSR2_C10,SNSR2_C11,SNSR2_C12,SNSR2_C13,SNSR2_C14,SNSR2_C15,SNSR3_C1,SNSR3_C2,SNSR3_C3,SNSR3_C4,SNSR3_C5,SNSR3_C6,SNSR3_C7,SNSR3_C8,SNSR3_C9,SNSR3_C10,SNSR3_C11,SNSR3_C12,SNSR3_C13,SNSR3_C14,SNSR3_C15,SNSR4_C1,SNSR4_C2,SNSR4_C3,SNSR4_C4,SNSR4_C5,SNSR4_C6,SNSR4_C7,SNSR4_C8,SNSR4_C9,SNSR4_C10,SNSR4_C11,SNSR4_C12,SNSR4_C13,SNSR4_C14,SNSR4_C15,SNSR5_C1,SNSR5_C2,SNSR5_C3,SNSR5_C4,SNSR5_C5,SNSR5_C6,SNSR5_C7,SNSR5_C8,SNSR5_C9,SNSR5_C10,SNSR5_C11,SNSR5_C12,SNSR5_C13,SNSR5_C14,SNSR5_C15,SNSR6_C1,SNSR6_C2,SNSR6_C3,SNSR6_C4,SNSR6_C5,SNSR6_C6,SNSR6_C7,SNSR6_C8,SNSR6_C9,SNSR6_C10,SNSR6_C11,SNSR6_C12,SNSR6_C13,SNSR6_C14,SNSR6_C15
11,B#3248,W#22,0,normal,-5,-5,606,603,-5,552,551,551,551,551,551,551,550,550,-5,-18,-18,12,-18,-18,301,-54,-57,-56,-57,-56,-57,-58,-58,-18,54,2358,2461,2406,765,1389,1395,1392,1395,1395,1392,1395,1395,1392,608,1,1,2047,2047,1,1208,1246,1276,1293,1304,1306,1304,1140,1137,2,-11,-11,973,548,-11,934,1010,1000,976,964,964,1002,998,983,-11,0,0,0,0,0,24,-109,-114,-114,-115,-116,-109,-108,-107,0
12,B#3248,W#23,0,normal,-5,-5,605,603,-5,556,550,551,551,551,551,551,551,551,551,-17,-18,-2,-18,-18,292,-56,-58,-58,-58,-58,-58,-59,-59,-18,74,2317,2461,2397,611,1389,1392,1392,1389,1395,1392,1392,1392,1392,1395,1,1,2047,2047,1,1210,1249,1276,1295,1302,1309,1306,1149,1136,1135,-11,-11,981,553,-11,957,1008,997,977,966,968,1002,1002,985,983,0,0,0,-1,0,24,-110,-115,-116,-116,-116,-112,-108,-107,0
13,B#3248,W#24,0,normal,-5,-6,606,604,-5,556,551,552,551,551,550,550,550,550,550,-18,-18,29,-18,-18,76,-56,-58,-58,-57,-58,-59,-58,-59,-18,32,2374,2461,2403,1165,1389,1392,1389,1392,1395,1392,1395,1395,1392,1389,1,1,2047,2047,1,1216,1253,1278,1294,1305,1311,1307,1137,1137,1137,-11,-11,972,520,-11,976,1008,999,976,967,973,1002,998,985,985,0,0,0,1,0,0,-111,-115,-115,-116,-117,-109,-108,-108,0
14,B#3248,W#25,1,Oxide dummy,-5,-6,605,603,-5,556,551,552,551,551,551,550,550,550,-4,-18,-19,22,-18,-19,78,-57,-56,-56,-56,-56,-56,-59,-59,-18,54,2394,2442,2400,1104,1392,1389,1392,1392,1395,1395,1398,1395,1392,998,1,1,2047,2047,1,1225,1254,1283,1297,1303,1307,1305,1135,1134,4,-11,-11,960,489,-11,987,1007,993,973,965,965,999,996,981,-9,0,0,-1,1,0,0,-111,-115,-115,-115,-116,-109,-108,-107,0
15,B#3249,W#01,0,normal,-5,585,603,-2,461,549,550,552,552,551,551,551,551,551,-4,-15,37,-55,-14,376,24,-52,-52,-51,-51,-51,-52,-52,-52,-16,2237,2451,2403,2314,1386,1392,1395,1395,1392,1395,1392,1392,1392,1392,982,1,2047,2047,52,497,1133,1139,1142,1145,1144,1147,1148,1151,1149,4,-11,1149,1055,3,354,981,980,978,977,973,971,972,972,969,-9,0,0,-20,0,33,-60,-103,-104,-106,-107,-107,-107,-107,-107,0
16,B#3249,W#02,0,normal,-5,-5,606,603,-5,552,551,551,551,551,552,551,551,551,-2,-16,-16,-48,-15,-16,44,-50,-52,-52,-53,-52,-52,-53,-53,-16,42,2403,2464,2400,1363,1392,1392,1392,1392,1389,1392,1395,1392,1392,1366,1,1,2047,2047,1,1134,1140,1146,1149,1150,1153,1150,1152,1152,19,-11,-11,1191,925,-11,952,952,957,957,956,958,953,954,953,5,0,0,-24,2,0,-1,-102,-104,-106,-106,-107,-107,-107,-107,0
17,B#3249,W#03,0,normal,-5,-5,602,603,-5,558,551,551,551,552,551,551,550,550,-4,-16,-16,106,-16,-16,289,-54,-54,-54,-54,-54,-55,-54,-56,-17,32,2355,2442,2400,1264,1392,1389,1392,1395,1389,1392,1392,1395,1395,979,1,1,2047,2047,1,1253,1296,1309,1322,1334,1336,1337,1334,1150,4,-11,-11,919,467,-11,1010,1025,1010,1010,1020,1023,1032,1049,1046,-9,0,0,0,-1,0,24,-116,-120,-121,-122,-123,-123,-110,-110,0
18,B#3249,W#04,0,normal,-5,-5,607,603,-5,552,550,550,551,552,551,551,551,551,-4,-17,-17,432,-16,-17,381,-54,-55,-55,-54,-54,-55,-54,-54,-17,54,2323,2467,2403,1187,1389,1386,1389,1392,1395,1395,1392,1392,1392,611,1,1,2047,2047,1,1058,1065,1070,1082,1085,1088,1090,1094,1096,2,-11,-11,1037,650,-11,843,852,857,855,854,856,855,858,860,-11,0,0,-1,0,0,31,-81,-82,-74,-74,-74,-74,-74,-74,0
19,B#3249,W#05,0,normal,-5,-5,614,603,-5,556,551,551,551,552,551,551,550,550,-4,-17,-18,132,-18,-18,310,-53,-54,-53,-53,-53,-54,-53,-54,-17,32,2394,2451,2394,1322,1389,1389,1395,1392,1395,1395,1392,1392,1395,982,1,1,2047,2047,1,1232,1264,1280,1294,1302,1311,1312,1308,1140,4,-11,-11,893,452,-11,977,994,973,957,950,953,955,992,984,-9,0,0,-1,1,0,24,-113,-115,-116,-116,-116,-116,-110,-108,0
20,B#3249,W#06,1,Oxide dummy,-5,604,603,603,-5,552,551,551,551,551,551,552,550,550,-3,-17,47,-56,-17,-18,44,-52,-54,-54,-54,-54,-54,-55,-55,-17,54,2470,2410,2400,1366,1395,1395,1392,1392,1392,1395,1395,1392,1392,1360,1,2047,2047,2047,1,1130,1137,1136,1138,1144,1150,1151,1156,1157,20,-11,925,1193,742,-11,957,970,973,981,993,1005,1014,1021,1023,6,0,0,-25,1,0,-1,-101,-104,-104,-104,-105,-106,-107,-108,0
21,B#3249,W#07,0,normal,-5,605,603,603,-5,553,551,550,551,552,551,551,551,551,-3,-18,33,-55,-18,-18,44,-53,-56,-56,-54,-56,-56,-56,-56,-17,54,2458,2406,2403,1366,1389,1392,1392,1392,1395,1395,1395,1395,1398,1370,1,2047,2047,2047,1,1110,1116,1120,1125,1126,1124,1124,1125,1125,19,-11,928,814,439,-11,867,888,897,905,906,905,905,905,904,4,0,0,-20,0,0,0,-88,-90,-90,-91,-92,-92,-93,-93,0
22,B#3249,W#08,0,normal,-5,-5,606,603,-5,553,551,552,551,551,552,551,551,551,-4,-18,-17,25,-18,-17,345,-52,-52,-52,-52,-52,-52,-52,-52,-17,70,2394,2454,2406,1325,1395,1392,1392,1392,1398,1395,1395,1395,1395,1005,1,1,2047,2047,1,1133,1139,1145,1146,1148,1148,1148,1149,1150,4,-11,-11,1344,891,-11,949,951,952,950,950,950,948,949,949,-9,0,0,-22,1,0,27,-101,-103,-104,-104,-105,-105,-106,-106,0
23,B#3250,W#02,0,normal,-4,-4,606,603,-4,555,550,552,551,552,551,550,550,550,-4,-15,-14,22,-15,-15,332,-50,-52,-51,-51,-52,-53,-53,-53,-16,54,2346,2451,2403,614,1386,1392,1392,1392,1392,1392,1392,1392,1395,1008,1,1,2047,2047,1,1213,1249,1280,1300,1313,1315,1312,1147,1133,4,-11,-11,980,543,-11,895,969,969,963,957,958,999,984,954,-9,0,0,0,0,0,25,-107,-111,-113,-113,-114,-108,-106,-105,0
24,B#3250,W#03,0,normal,-5,-5,604,603,-4,530,552,551,552,551,552,551,550,550,550,-16,-16,22,-16,-16,159,20,-51,-51,-52,-52,-52,-53,-53,-17,32,2378,2442,2403,1075,1389,1392,1392,1395,1392,1392,1392,1392,1392,1389,1,1,2047,2047,1,807,1244,1275,1294,1314,1318,1317,1156,1135,1135,-11,-11,963,515,-11,549,974,977,961,957,956,1003,991,956,956,0,0,0,1,0,0,-82,-111,-112,-113,-113,-108,-105,-105,0
25,B#3250,W#05,0,normal,-5,-5,605,603,-4,556,551,551,552,552,551,551,551,550,-4,-17,-17,802,-16,-16,310,-51,-52,-53,-52,-52,-53,-53,-54,-17,32,2326,2464,2403,186,1386,1392,1395,1392,1395,1395,1395,1395,1392,979,1,1,2047,2047,1,1216,1253,1280,1300,1310,1313,1316,1144,1136,4,-11,-11,962,572,-11,899,978,977,960,954,955,1004,981,961,-9,0,0,0,-1,0,26,-106,-111,-112,-113,-113,-107,-105,-105,0
26,B#3250,W#06,0,normal,-5,604,602,602,-5,553,551,551,551,551,552,551,550,551,-4,-17,41,-48,-17,-18,55,-50,-52,-52,-53,-52,-52,-53,-53,-17,32,2464,2416,2397,1290,1389,1392,1392,1392,1392,1395,1395,1395,1398,982,1,2047,2047,2047,1,1217,1256,1278,1299,1309,1310,1308,1144,1132,4,-11,806,937,453,-11,936,981,976,958,954,950,988,977,953,-9,-1,0,-21,0,0,0,-107,-111,-112,-113,-112,-106,-105,-104,0
27,B#3250,W#07,0,normal,-5,-5,605,604,-5,557,550,551,551,552,552,551,550,550,-4,-17,-17,18,-16,-17,75,-49,-53,-53,-53,-53,-53,-54,-55,-17,70,2342,2458,2400,614,1392,1392,1389,1392,1392,1392,1395,1395,1392,973,1,1,2047,2047,1,1213,1255,1281,1297,1309,1311,1308,1144,1132,4,-11,-11,955,537,-11,911,979,980,961,955,954,998,978,954,-9,0,0,-1,-1,0,0,-106,-111,-112,-112,-113,-106,-105,-104,0
28,B#3250,W#08,0,normal,-5,-5,604,604,-5,542,552,552,551,551,551,551,550,550,550,-17,-17,509,-17,-16,115,18,-53,-52,-53,-52,-52,-54,-54,-18,32,2314,2454,2406,186,1389,1395,1392,1392,1395,1395,1395,1392,1392,1389,1,1,2047,2047,1,855,1249,1277,1298,1312,1314,1313,1172,1135,1133,-11,-11,913,614,-11,585,980,979,964,960,956,997,993,959,956,0,0,0,0,0,0,-81,-110,-112,-113,-113,-109,-105,-104,0
29,B#3250,W#09,0,normal,-5,-5,606,603,-5,557,551,552,551,551,551,551,551,550,-4,-18,-18,39,-17,-18,296,-51,-52,-52,-52,-52,-52,-52,-53,-17,51,2339,2448,2400,611,1386,1395,1392,1392,1395,1395,1392,1392,1392,986,1,1,2047,2047,1,1216,1253,1279,1300,1311,1315,1315,1151,1137,4,-11,-11,954,531,-11,901,982,982,960,955,955,1007,988,961,-9,0,0,0,0,0,25,-106,-111,-112,-113,-113,-108,-106,-104,0
30,B#3250,W#10,0,normal,-5,-5,605,604,-5,555,551,552,551,551,552,551,550,550,-3,-17,-18,43,-18,-18,75,-51,-52,-52,-52,-52,-52,-53,-53,-17,70,2346,2467,2403,803,1386,1392,1392,1395,1395,1395,1392,1392,1392,1370,1,1,2047,2047,1,1219,1257,1284,1298,1313,1316,1314,1151,1136,19,-11,-11,945,518,-11,925,984,982,968,957,960,998,985,958,5,0,0,0,-1,0,0,-107,-111,-112,-113,-113,-107,-106,-105,0
31,B#3250,W#11,0,normal,-5,-5,605,603,-5,553,551,552,551,551,550,551,550,550,-3,-17,-17,525,-16,-16,291,-51,-52,-52,-52,-53,-52,-53,-53,-17,32,2326,2451,2406,614,1389,1389,1392,1392,1392,1392,1392,1392,1392,1366,1,1,2047,2047,1,1216,1257,1280,1301,1313,1314,1313,1150,1139,19,-11,-11,951,567,-11,914,986,983,960,957,954,1000,985,962,5,0,0,0,-1,0,24,-106,-112,-112,-113,-113,-107,-106,-105,0
32,B#3250,W#12,0,normal,-5,-5,605,603,-5,557,551,552,551,552,551,551,550,551,550,-17,-17,876,-16,-17,294,-51,-52,-52,-51,-51,-52,-53,-53,-17,54,2333,2467,2406,611,1389,1392,1392,1392,1395,1398,1395,1398,1398,1389,1,1,2047,2047,1,1214,1255,1282,1298,1310,1314,1313,1150,1134,1134,-11,-11,967,574,-11,907,983,980,965,957,956,988,980,955,955,0,0,0,-1,0,25,-106,-111,-112,-113,-113,-107,-104,-104,0
33,B#3250,W#13,0,normal,-5,-5,604,604,-5,554,551,552,551,551,551,550,550,550,-4,-17,-17,-6,-18,-17,325,-51,-53,-52,-52,-52,-53,-53,-54,-18,70,2323,2464,2403,611,1386,1395,1395,1395,1395,1395,1395,1398,1395,614,1,1,2047,2047,1,1064,1252,1279,1295,1308,1311,1312,1160,1131,2,-11,-11,972,579,-11,702,982,980,963,951,952,991,986,953,-11,0,0,0,-1,0,26,-102,-110,-112,-112,-112,-108,-104,-104,0
34,B#3250,W#14,0,normal,-5,-5,605,604,-5,552,551,552,551,551,551,551,550,550,550,-18,-18,1,-18,-17,117,-51,-53,-52,-52,-52,-52,-53,-53,-18,54,2362,2451,2403,794,1389,1395,1395,1392,1395,1392,1392,1398,1392,1389,1,1,2047,2047,1,1104,1254,1280,1298,1311,1314,1313,1152,1138,1138,-11,-11,973,538,-11,745,987,986,964,955,952,1002,985,963,961,0,0,0,0,0,0,-105,-112,-113,-113,-113,-109,-105,-105,0
35,B#3250,W#15,0,normal,-5,-5,606,604,-5,555,551,551,551,552,551,551,550,551,550,-17,-17,26,-17,-17,294,-50,-52,-53,-52,-52,-52,-53,-53,-17,74,2336,2451,2403,614,1389,1392,1392,1392,1392,1392,1392,1395,1392,1392,1,1,2047,2047,1,1216,1253,1276,1295,1306,1311,1311,1154,1137,1136,-11,-11,968,537,-11,907,983,983,962,954,954,1003,990,963,961,0,0,-1,0,0,24,-106,-112,-112,-112,-112,-108,-105,-104,0
36,B#3250,W#17,0,normal,-5,-5,605,604,-5,557,551,551,551,552,551,551,551,551,-4,-17,-17,20,-17,-17,296,-50,-52,-52,-52,-52,-52,-52,-53,-18,32,2394,2448,2400,1082,1389,1392,1392,1395,1392,1392,1392,1392,1392,973,1,1,2047,2047,1,1214,1253,1281,1301,1310,1317,1314,1151,1136,4,-11,-11,989,494,-11,924,980,978,962,958,958,999,985,961,-9,0,0,0,1,0,24,-107,-111,-112,-113,-114,-108,-105,-105,0
37,B#3250,W#18,0,normal,-5,-5,604,604,-5,553,551,552,551,552,550,550,550,550,-4,-18,-18,65,-18,-18,55,-50,-52,-52,-51,-53,-53,-53,-54,-18,714,2371,2435,2400,1075,1389,1392,1392,1392,1392,1392,1392,1392,1392,979,1,1,2047,2047,1,1213,1251,1278,1296,1308,1311,1310,1148,1135,4,-11,-12,932,490,-11,920,978,976,958,952,951,997,983,960,-9,0,0,0,-1,0,0,-107,-111,-112,-113,-113,-108,-106,-104,0
38,B#3250,W#19,0,normal,-5,-5,605,604,-5,556,551,552,551,552,551,551,550,551,-4,-18,-18,31,-18,-18,296,-51,-51,-52,-51,-51,-51,-53,-52,-17,70,2362,2445,2400,781,1392,1392,1395,1395,1395,1392,1392,1392,1392,979,1,1,2047,2047,1,1214,1253,1280,1296,1311,1313,1312,1147,1135,4,-11,-11,969,516,-11,924,980,973,963,956,958,999,984,960,-9,0,0,0,1,0,25,-107,-111,-112,-113,-113,-107,-105,-105,0
39,B#3250,W#20,0,normal,-5,-5,607,604,-5,553,551,551,551,551,551,551,551,550,19,-17,-17,28,-17,-17,116,-50,-51,-51,-51,-51,-51,-52,-53,-17,54,2371,2458,2397,1226,1386,1392,1395,1392,1392,1392,1395,1392,1392,1389,1,1,2047,2047,1,1104,1250,1280,1298,1313,1318,1318,1146,1135,166,-11,-11,959,478,-11,746,977,975,963,954,961,993,981,957,127,0,0,0,1,0,0,-106,-111,-112,-113,-114,-107,-105,-105,0
40,B#3250,W#21,0,normal,-5,-5,603,604,-5,552,550,551,551,550,551,550,550,551,550,-17,-17,-8,-17,-17,297,-51,-51,-51,-51,-51,-52,-52,-52,-17,32,2307,2477,2403,611,1389,1392,1392,1392,1395,1392,1392,1392,1395,1392,1,1,2047,2047,1,1102,1251,1278,1295,1312,1319,1319,1164,1137,1137,-11,-12,961,579,-11,742,982,982,960,954,960,996,993,961,960,0,0,-1,0,0,24,-106,-112,-112,-112,-113,-109,-106,-105,0
41,B#3250,W#22,0,normal,-5,-5,605,603,-5,533,550,551,552,551,550,551,550,550,-3,-17,-17,-4,-17,-17,159,-17,-51,-52,-51,-52,-52,-53,-53,-17,74,2355,2464,2403,1030,1389,1392,1395,1395,1392,1392,1392,1395,1395,1366,1,1,2047,2047,1,807,1246,1274,1292,1305,1311,1310,1147,1133,19,-11,-11,967,535,-11,551,976,975,960,950,951,995,981,954,5,0,0,0,-1,0,0,-93,-111,-112,-112,-112,-107,-104,-104,0
42,B#3250,W#23,0,normal,-5,-5,604,603,-5,555,552,551,551,552,551,551,551,551,-5,-17,-17,41,-17,-17,76,-49,-52,-52,-52,-51,-51,-51,-18,-18,42,2394,2467,2400,1194,1389,1389,1392,1392,1392,1395,1392,1392,1392,448,1,1,2047,2047,1,1223,1260,1281,1300,1312,1315,1316,1144,1136,1,-11,-11,960,474,-11,936,981,977,963,960,961,1012,990,968,-11,0,0,-21,0,0,-1,-108,-112,-113,-113,-113,-107,-105,-6,0
43,B#3250,W#24,0,normal,-5,-5,606,604,-5,556,551,552,551,551,551,551,549,550,-5,-17,-18,30,-18,-18,70,-49,-51,-51,-50,-50,-50,-52,-51,-18,51,2381,2467,2403,813,1389,1392,1389,1389,1389,1392,1395,1398,1395,614,1,1,2047,2047,1,1217,1260,1284,1301,1311,1312,1311,1142,1134,1,-11,-11,959,507,-11,929,989,989,967,958,954,994,977,957,-11,0,0,0,1,0,0,-108,-113,-113,-113,-114,-108,-104,-104,0
44,B#3250,W#25,0,normal,-5,-5,603,603,-5,551,551,552,551,552,551,551,551,551,20,-17,-17,108,-18,-17,64,-50,-51,-51,-51,-51,-51,-52,-52,-17,42,2342,2429,2406,714,1386,1389,1392,1392,1392,1392,1392,1395,1392,1389,1,1,2047,2047,1,1133,1254,1280,1297,1308,1312,1313,1151,1137,167,-11,-11,927,554,-11,789,984,978,958,951,949,984,980,960,127,0,0,0,0,0,0,-105,-112,-113,-113,-113,-108,-106,-105,0
45,B#3251,W#02,0,normal,-5,-5,608,604,-4,556,551,552,552,552,551,551,551,551,-2,-16,-16,29,-16,-16,82,-48,-49,-50,-49,-50,-50,-51,-50,-17,42,2330,2464,2403,595,1382,1389,1392,1389,1395,1395,1398,1398,1395,1370,1,1,2047,2047,1,1216,1254,1275,1297,1305,1309,1310,1142,1132,19,-11,-11,1023,564,-11,898,981,980,962,956,950,985,977,956,5,0,0,0,1,0,0,-107,-112,-113,-113,-113,-106,-105,-104,0
46,B#3251,W#03,1,Double etched,-5,-5,606,604,-5,553,551,551,552,551,551,551,550,551,-2,-16,-17,36,-16,-17,59,-49,-50,-50,-50,-50,-50,-51,-51,-17,42,2390,2448,2400,1107,1389,1392,1392,1392,1398,1398,1392,1395,1392,1360,1,1,2047,2047,1,1214,1256,1275,1292,1305,1312,1312,1146,1140,19,-11,-11,980,485,-11,921,983,977,958,949,954,995,982,964,5,0,0,-1,1,0,0,-107,-112,-112,-112,-113,-107,-106,-105,0
47,B#3251,W#04,0,normal,-5,-5,605,603,-5,556,551,551,551,552,550,551,550,550,-5,-17,-17,49,-17,-17,84,-48,-51,-50,-50,-51,-50,-51,-18,-18,54,2394,2470,2400,1078,1389,1389,1392,1392,1395,1395,1392,1392,1395,448,1,1,2047,2047,1,1216,1260,1284,1299,1307,1311,1310,1139,1135,1,-11,-11,970,486,-11,931,982,978,960,953,957,995,973,959,-11,0,0,0,1,0,0,-107,-112,-113,-113,-113,-106,-105,-2,0
48,B#3251,W#05,0,normal,-5,-5,604,603,-5,555,551,551,552,551,551,551,551,551,-3,-17,-17,42,-17,-18,81,-49,-51,-51,-51,-52,-51,-52,-52,-18,32,2394,2464,2400,1091,1389,1392,1392,1392,1395,1395,1395,1398,1392,1363,1,1,2047,2047,1,1216,1263,1284,1299,1312,1315,1314,1144,1140,19,-11,-11,974,481,-11,920,984,980,960,951,951,996,974,960,5,0,0,-1,1,0,0,-106,-112,-113,-113,-113,-106,-105,-105,0
49,B#3251,W#06,0,normal,-5,-5,605,603,-5,557,551,551,552,551,551,552,550,550,-4,-18,-18,0,-18,-18,295,-50,-51,-51,-51,-51,-51,-52,-51,-18,38,2355,2438,2406,614,1386,1392,1389,1392,1392,1392,1395,1398,1398,1005,1,1,2047,2047,1,1216,1252,1283,1300,1311,1312,1312,1138,1128,4,-11,-11,970,526,-11,904,974,975,960,952,955,991,970,949,-9,0,0,0,-1,0,25,-107,-111,-112,-113,-113,-106,-104,-104,0
